title,release_date,original_language,original_title,overview,tagline,genres,spoken_languages,keywords
Transporter 2,2005-08-03,en,Transporter 2,"Professional driver Frank Martin is living in Miami, where he is temporarily filling in for a friend as the chauffeur for a government narcotics control policymaker and his family. The young boy in the family is targeted for kidnapping, and Frank immediately becomes involved in protecting the child and exposing the kidnappers.",The Best In The Business Is Back In The Game.,"Action, Thriller, Crime","english, french, italian","martial arts, chauffeur, miami, florida, workaholic, war on drugs, kidnapping, conference, sequel, u.s. marshal, young boy, audi, police chase, explosion, lethal virus, scientist, antidote, marital separation, government official, ransom demand, narcotics, rules, ex special forces, action hero, jetski, favor, crazy woman, precision, modified vehicle, bulletproof car"
Rage,1972-11-22,en,Rage,"An accidental nerve gas leak by the military kills not only a rancher's livestock, but also his son. When he tries to hold the military accountable for their actions, he runs up against a wall of silence.",They called it an accident. He called it murder. It was their conspiracy. It was his son.,"Drama, Thriller",english,"revenge, government cover-up, government conspiracy, nerve gas"
Jekyll and Hyde... Together Again,1982-11-10,en,Jekyll and Hyde... Together Again,Dr. Jekyll inhales white powder and becomes an obnoxious Southern Californian.,The comedy that examines modern living through chemistry.,"Comedy, Horror, Science Fiction",english,"double life, musical, jekyll and hyde"
Gang Tapes,2001-01-01,en,Gang Tapes,"When a brutal carjacking yields a videocamera, a teenage boy decides to document his life and the lives of his fellow gangbangers.",A coming of Rage story,"Drama, Crime, Action, Adventure, Thriller",english,found footage
"Stolen Women, Captured Hearts",1997-01-16,en,"Stolen Women, Captured Hearts","Kansas, 1868. A wagon train is attacked by a band of Lakota Sioux led by the young and athletic warrior Tokalah. The attractive, red haired Anna Brewster-Morgan and her friend Sarah White are on this wagon train too. When Tokalah noticed a terrified Anna with a Bible, he thinks this is an omen. Despite killing the other passengers of the wagon train, only Anna and Sarah may continue their voyage. The next day Anna and Sarah are kidnapped by Tokalah. At first terrified of her captors, the unhappily married Anna eventually falls in love with the noble, honorable Tokalah. After a year's captivity, Sarah is returned to her own people. Anna now must choose between her new life with Tokalah and her previous existence as the wife of farmer Daniel Morgan.",She was a beautiful woman abducted by a Sioux warrior. Now she must choose between the world she lost and the love she found.,"Western, Drama, Romance, TV Movie",english,"kidnapping, native american, based on true story, sioux, interracial romance, sioux tribe, sioux chief, lakota"
Jacked$,2004-01-01,ru,Сматывай удочки,"Two friends, Al and Max, decide to spend the weekend fishing, during which, amid an incomprehensible noise, a briefcase full of dollars suddenly appears at the end of Al's fishing line. A boss who has lost a million dollars can't calm down, and his two bodyguards have to find a case within 48 hours. In the pursuit of money, the bandits work out various scenarios, forcing Al and Max to participate in this whole nightmare – an attempt to rob a bank, participation in a drug deal.",What Would You Do If You Lost A Million Dollars?,Comedy,"english, russian","stolen money, crime boss"
Zeitgeist: Moving Forward,2011-01-15,en,Zeitgeist: Moving Forward,"A presentation of a case for a needed transition out of the current socioeconomic monetary paradigm which governs the entire world society. This subject matter will transcend the issues of cultural relativism and traditional ideology and move to relate the core, empirical 'life ground' attributes of human and social survival, extrapolating those immutable natural laws into a new sustainable social paradigm called a 'Resource-Based Economy'.",This Shit's Got to Go!,Documentary,english,communism
Land of the Outlaws,1944-09-16,en,Land of the Outlaws,"The old bromide about the western town run by outlaws as a hideout for their fellow crooks makes a return appearance in Monogram's Land of the Outlaws. Since the crooks include such reliable disreputables as Charles King and John Merton, the good guys really have their work cut out for them. But not to worry! The heroes are Johnny Mack Brown and Raymond Hatton, whose B-western track record is unbeatable. Land of the Outlaws was directed by Lambert Hillyer, whose sense of rhythm and pace had saved many another inexpensive oater.",* Daredevil Johnny hi-jacks their stolen gold and tmes them with blazing bullets!,Western,English,"marshal, mine"
Hoan Alone,2018-01-01,en,Hoan Alone,"Milwaukee’s Daniel Hoan Memorial Bridge is the crown over Summerfest and has become one of the city’s most recognizable landmarks. But it’s also a popular site for suicides. This animated documentary explores the issues of the bridge and suicide through three intimate interviews. Follow animator, Aaron Johnson, as he shares the stories of Dave, John, and Mary.",Personal Stories from the Bridge,"Documentary, Animation",english,suicide
Hollywood Mortuary,1998-01-01,en,Hollywood Mortuary,"Framed by interviews with real life celebrities, Hollywood Mortuary tells the tale of a horror make-up artist who, in 1941 Hollywood, uses voodoo to resurrect two rival horror stars (thinly disguised versions of Karloff and Lugosi) from the dead to help revive his fading career.",Stars aren't born...they're embalmed.,"Horror, Comedy",english,"mortuary, hollywood star"
100% Wolf,2020-06-26,en,100% Wolf,"Freddy Lupin, heir to a proud family line of werewolves, is in for a shock when on his 14th birthday his first 'warfing' goes awry, turning him into a ferocious poodle.  The pack elders give Freddy until the next moonrise to prove he has the heart of a wolf, or risk being cast out forever.  With the help of an unlikely ally in a streetwise stray named Batty, Freddy must prove he's 100% Wolf.",Every pack needs a leader!,"Animation, Family, Fantasy","english, danish","poodle, teen angst, werewolf, acceptance"
Zoneout,2023-09-20,en,Zoneout,"Rohan, a young man, returns home to a bustling household in preparation for his birthday party. As the family gets caught up in the chaos of the occasion, tensions rise and arguments erupt. Feeling overwhelmed, Rohan seeks refuge in his room, only to find himself transported to a parallel universe. Here he meets Zoneout, a formidable entity who provides him with valuable insights into his predicament.",Invisible to the human eye,"Fantasy, Drama",english,"family, empathy, escapism, proof of concept"
Try to WRITE today!!!,2019-09-03,en,Try to WRITE today!!!,A writer struggles to find an idea he likes.,"Have you ever had a ton of ideas, but they all kind of suck?",Comedy,english,"writing, writer's block"
Jindabyne,2006-07-20,en,Jindabyne,"Outside the Australian town of Jindabyne, local man Stuart Kane is on a fishing trip with friends when they discover the body of a murdered girl. What follows will change their lives forever.",Under the surface of every life lies a mystery,"Crime, Drama, Mystery, Thriller",english,"australia, friendship, small town, marriage crisis, fishing, marriage, male friendship, murder, dead body, based on short story, australian aboriginal, aboriginal, aborigine, fishing trip, new south wales"
Ramaiya Vastavaiya,2013-07-19,hi,रमैया वस्तावैया,A wealthy NRI falls hard for a country girl during a visit to his homeland.,Go Desi Cool ...,"Romance, Action, Comedy","english, hindi","village life, nri, older brother younger sister"
The International,2009-02-03,en,The International,"An interpol agent and an attorney are determined to bring one of the world's most powerful banks to justice. Uncovering money laundering, arms trading, and conspiracy to destabilize world governments, their investigation takes them from Berlin, Milan, New York and Istanbul. Finding themselves in a chase across the globe, their relentless tenacity puts their own lives at risk.",Is your money making a killing?,"Action, Thriller, Drama, Crime","english, italian, french, russian, german",duringcreditsstinger
Ladykiller,1996-10-05,en,Ladykiller,"Over a year after a chase to catch a serial slayer dubbed the 'LADYKILLER' ended in the death of his old partner. Lt. Jack 'Jigsaw' Lasky sees a chance too redeem himself in the eyes of his fellow cops, when another serial killer, 'The Piggy Bank Murderer' starts preying on female students at a local campus. Slashing his victims throats with a switchblade before stuffing loose change into their mouths leaving behind the words ""She Needed The Money"" wherever he goes. Jack's search leads to a number one suspect in the form of Richard Darling an out-of-work actor drawn to the case for reasons unknown as he is drawn to the Jack's art student daughter, Jennifer who studying at the exact same college as the murders occur. As Jack finds himself becoming partnered to Richard who continues on being never far away when the next homicide occurs. Jack searches to uncover this killer of girls before he concludes his slaughter spree with Jennifer.",Every life has it's price,"Action, Thriller, TV Movie",english,"yoga, blindfold, tunnel, trust game"
The Unseen,1945-05-12,en,The Unseen,"David Fielding, who has recently lost his wife, moves into a new neighborhood under a cloud of suspicion. Many feel that his wife's death in a car crash was no accident. Elizabeth Howard, the governess he hires to look after his children, makes it her mission to find out the truth. When other murders seem to be following David to his new town, Elizabeth investigates with the help of David's son Barnaby.",AN EERIE STORY OF THE WHISPERING PAST!,"Drama, Mystery, Thriller",english,"nanny, film noir"
The Chase,1994-03-04,en,The Chase,"Jack Hammond is sentenced to life in prison, but manages to escape. To get away from the police he takes a girl as hostage and drives off in her car. The girl happens to be the only daughter of one of the richest men in the state. In a while the car chase is being broadcast live on every TV-channel.",Getting there is twice the fun.,"Adventure, Comedy, Action, Crime",english,"hero, mexico, escape, police, chase, gun, kidnapping, hostage, shotgun, daydream, gunfight, crash, explosion, convict, pursuit, standoff"
Gunfight at Dry River,2021-09-10,en,Gunfight at Dry River,"The closing years of the nineteenth century Old West. Dry River tells the story of a Mexican border town ravaged by severe drought, with the only water source controlled by a family of American renegades on the trail for a legend of lost gold. When a Mexican stranger arrives to reclaim his father’s land, a violent confrontation will cause the lives of all to be forever transformed.",A thirst worth dying for.,Western,english,"buried treasure, 19th century"
