title,release_date,original_language,original_title,overview,tagline,genres,spoken_languages,keywords
Chowboys,2018-09-21,en,Chowboys,"Three stupid cowboys are lost in the woods without any food on the coldest night of the year. Will they succumb to the cold, cannibalism or the Christmas Spirit? Canada's infamous Astron-6 return to short form to challenge the very idea of storytelling. Grotesque. Absurd. Buñuel by way of the Zuckers and Abrahams.",Hopeless men... Against hopeless odds...,"Western, Horror",english,short film
Paroled - To Die,1938-01-11,en,Paroled - To Die,"Meline is taking money from his own bank to drill an oil well. When he finds Doug Redfern's bandana, he has his gang rob his bank and uses the bandana to frame Doug. When Doug is convicted but immediately paroled, Meline has another plan that he thinks will put him away permanently.",CONDEMNED BY THE LAW!,"Action, Western",english,"deception, bandana"
Blood Father,2016-08-11,en,Blood Father,An ex-con reunites with his estranged wayward 16-year old daughter to protect her from drug dealers who are trying to kill her.,They left him no choice..,"Action, Thriller, Drama","english, spanish","drug dealer, trailer park, parent child relationship, on the run, teenage girl, desert, family reunion, alcoholic, ex-con, tattoo artist, mexican cartel, brutal violence, biker gang"
Another Dawn,1937-06-26,en,Another Dawn,"Colonel John Wister, on duty with the British army in the desert region of Dubik, returns to England on leave. There he falls in love with Julia Ashton, who cares deeply for him but believes herself incapable of love following the death of her fiancé; some time before. Wister convinces her that he loves her enough to live without her romantic love and that she should marry him. She does so and returns to Dubik with him. There she meets his adjutant, Captain Denny Roark. Roark is a dashing young man who reminds Julia thoroughly of her lost love. Soon she finds she is indeed capable of love, but it is Roark with whom she falls in love, not her husband. As warfare with the local tribes heats up and as Wister gains awareness of the unconsummated romance growing between his wife and best friend, tragedy lurks.",LIPS ON LIPS with a thrill of love you'll never forget,"Adventure, Drama, Romance",english,"army, desert"
The Fear Inside,1992-08-09,en,The Fear Inside,"An agoraphobic children's book illustrator is trapped inside her home by two young psychos-in-love, who terrorize her. It is only when her young son is threatened that she manages to overcome her paralyzing fears and attempt to leave her home to save him...","Her greatest fear was the outside world. Now, it's come inside.","TV Movie, Drama, Thriller",english,"illustrator, phobia, agoraphobia, home invasion"
L'Avventura,1960-09-14,it,L'avventura,"Claudia and Anna join Anna's lover, Sandro, on a boat trip to a remote volcanic island. When Anna goes missing, a search is launched. In the meantime, Sandro and Claudia become involved in a romance despite Anna's disappearance, though the relationship suffers from guilt and tension.",A new adventure in filmmaking...,"Drama, Mystery","italian, english","island, mediterranean, police, architect, boating trip"
Man Up,2015-05-29,en,Man Up,"A 34 year old single woman, Nancy, hung-over again, exhausted by the endless fruitless set ups by her friends, traveling across London to toast another 10 years of her parent's successful happy magical marriage runs in with a 40 year old divorcee, Jack, who mistakes her for his 24 year old blind date. Nancy, deciding to go with it, happens to hop on the most chaotic yet hilarious journey of her life which neither of them will ever forget.",If you can't get a date... just steal one!,"Romance, Comedy","italian, english","bowling, mistaken identity, blind date, love, wedding anniversary, one night, divorced man, lies"
13,2010-03-12,en,13,"A naive young man assumes a dead man's identity and finds himself embroiled in an underground world of power, violence, and chance where men gamble behind closed doors on the lives of other men.",Spin. Aim. Survive.,"Drama, Thriller",english,"new york city, greed, ohio, flashback, remake, revenge, russian roulette, mansion, train, police detective, drug overdose, revolver, mental hospital, death game"
Champagne Safari,1954-01-01,en,Champagne Safari,Travelogue/documentary follows newly married Rita Hayworth and Prince Aly Khan on their honeymoon trip through exotic locales.,The second honeymoon of the two most talked about lovers in the world!,Documentary,english,"royalty, hollywood star, travelogue"
Dry,2024-06-20,en,Dry,An artist’s obsession with a couple’s fight leads him to dangerous extremes in the pursuit of his next masterpiece.,An artist’s obsession with a couple’s fight leads him to dangerous extremes in the pursuit of his next masterpiece.,Thriller,english,short
