title,release_date,original_language,original_title,overview,tagline,genres,spoken_languages,keywords
"Follow Me, Boys!",1966-12-01,en,"Follow Me, Boys!","Lem Siddons is part of a traveling band who has a dream of becoming a lawyer. Deciding to settle down, he finds a job as a stockboy in the general store of a small town. Trying to fit in, he volunteers to become scoutmaster of the newly formed Troop 1. Becoming more and more involved with the scout troop, he finds his plans to become a lawyer being put on the back burner, until he realizes that his life has been fulfilled helping the youth of the small town.",IT CAPTURES ALL...all the happiness and heartbreak of being America's #1 hometown hero.,"Drama, Family",english,"small town, boy scouts, scoutmaster"
Queens Of Combat QOC 7,2015-11-29,en,Queens Of Combat QOC 7,"Queens of Combat 7 - Title Finals Sunday, November 29th. Match in a 4-position match. The winner goes to the semifinals against Tessa Blanchard against Talley Blanchard. QoC semifinal match Tyler Hendrix vs. winner 4-way match in Chelsea Green vs. Mad Mary Dobson game Leva Bates vs. ODB LuFisto vs. Andrea Finals Tournament winner Queens Battle Title (Havok vs. Blanchard) against winner (Hendrix vs. Blanchart) Title (Havok vs. Blanchard) against the winner (Hendrix vs. Blancht Battle Title (Havok vs. Blanchard) against the winner (Hendrix vs. Blanchart) Title (Havok vs. Blanchard) against the winner (Hendrix against Blanshar).",Queens Of Combat QOC 7,"Action, Drama",English,"sports, wrestling, female wrestler"
That Sinking Feeling,1980-10-01,en,That Sinking Feeling,"Ronnie, Wal, Andy and Vic are four bored, unemployed teens in dreary, rainy Glasgow. Ronnie comes up with a great idea. He has noticed that stainless steel sinks are worth a lot of money and comes up with a complicated scheme: to steal sinks from a warehouse dressed as girls and using a stop-motion-potion.",There's got to be more to life than committing suicide.,"Comedy, Drama, Crime",english,"scotland, glasgow, scotland, heist, disguise, unemployment, caper comedy"
My Dad,1922-07-23,en,My Dad,"Tom's father, Barry, lives at a lonely trading post up north and is constantly in fear the post's factor, who has threatened to turn him in to the Mounted Police for a murder committed many years before.","Like a statue carved from stone stood the faithful ""Rin-Tin"" guarding his fallen master",Drama,English,"dog, german shepherd"
Mondo Mod,1967-06-14,en,Mondo Mod,"A look at the ""mod"" culture of the, visiting the Sunset Strip in West Hollywood, going from discotheques to dirt bike competitions, surfing, karate, go-carting, political protests and pot parties.",Freak Out With the Go-High Scene in ... Mondo Mod,"Documentary, Music",english,"surfing, california, hippie, lsd, interview, hippie lifestyle, marijuana, drugs, dirt bike, mondo, 1960s, sunset strip, hippies, psychedelia, party"
Linkedd 3 : Resurgence,2024-07-26,en,Linkedd 3 : Resurgence,"Over 50 years have passed, and Linkedd is looking to finally end the cycle he started long ago",What’s you’re legacy?,"Animation, Drama, Adventure, Action, Fantasy",english,"linkedd, clocky, snail with the mail, benny the banana"
Teenage Rebel,1956-11-01,en,Teenage Rebel,Nancy Fallon gets her teenage daughter back from her ex-husband when she remarries and must win her love.,You wanted to get rid of me...so you could be alone with that woman!,Drama,english,"hot rod, coming of age"
The Genius Club,2006-10-27,en,The Genius Club,"What if you had one night to solve the world’s problems? For seven geniuses, they have no choice. A terrorist culls together a scientist, a seminary student, a pro baseball player, a professor, a casino owner, a painter, and a pizza delivery guy to attempt to solve the world’s problems in one night.",Solve it.,"Thriller, Drama",english,"genius, iq, nuclear bomb, terrorism"
The Night Flier,1997-04-30,en,The Night Flier,"For cynical tabloid journo Richard Dees, facts are always stranger than fiction. Every headline is a dead-line. Serial killers, UFO abductions, tales of molestation, mayhem and murder. To some the tales are mere sleazy fantasy – but his faithful readers believe. And now there's a new story: The Night Flier. What is it that travels by night in a dark-winged Cessna, lands at secluded airfields and murders local residents? Dees begins to track the unknown killer in a Cessna of his own, uncovering clues that reveal a pilot more terrifying than he could have ever imagined.",Evil has a flight plan.,"Horror, Mystery",english,"journalist, airplane, airport, vampire, undead, reporter, series of murders, female corpse, tabloid reporter"
The Director's Cut,2022-05-24,es,The Director's Cut,"The lives of a director and a writer intertwine for the creation of a unique film that will lead them to stardom. Meanwhile, a love between them will forge as we watch the filming process and a series of curious characters.",A Rhapsody of Cinema,"Romance, Comedy",english,"comedian, romantic comedy, romance, live action and animation, celia molina, juan sainz de rozas, metacine, rhapsody in blue"
Coriolanus,2011-02-14,en,Coriolanus,"Caius Martius, aka Coriolanus, is an arrogant and fearsome general who has built a career on protecting Rome from its enemies. Pushed by his ambitious mother to seek the position of consul, Coriolanus is at odds with the masses and unpopular with certain colleagues. When a riot results in his expulsion from Rome, Coriolanus seeks out his sworn enemy, Tullus Aufidius. Together, the pair vow to destroy the great city.",Nature teaches beasts to know their friends.,"Drama, Thriller",english,"senate, general, market, rivalry, tragedy, tears, scar, stabbing, truce, flag"
"No Love, Deep Web",2024-09-15,en,"No Love, Deep Web","After working for a crimelord for years, a man finally snaps and rises up against his boss, dragging many others into his mess…",Daddy don’t you know that things go in cycles…,"Crime, Action, Comedy",English,intense
All Riders,2021-01-28,en,All Riders,"The battle for accessibility in New York City Transit told by those fighting it. Less than a quarter of stations in the city's sprawling subway system are accessible to people with disabilities and those that need elevators. This film takes you on the frontlines of the disability rights movement featuring the perspectives of activists, local and state legislators, transit advocates and MTA officials.",In Loving Memory of Malaysia Goodson,Documentary,english,"new york city, subway, new york subway, disability, physical disability, accessibility"
Miracle on 34th Street,1994-11-18,en,Miracle on 34th Street,"Six-year-old Susan Walker has doubts about childhood's most enduring miracle—Santa Claus. Her mother told her the secret about Santa a long time ago, but, after meeting a special department store Santa who's convinced he's the real thing, Susan is given the most precious gift of all—something to believe in.","If you really believe, anything can happen.","Fantasy, Drama, Family",english,"new love, holiday, competition, department store, santa claus, miracle, wish, remake, christmas"
College Confidential,1960-08-26,en,College Confidential,"Sociology professor Steve MacInter is conducting a survey at Collins College about the mores and lifestyles of the young people. Some of the good citizens begin to find exception to his sociological survey when they find out it includes questions about sex. Reporter Betty Ducayne receives an anonymous tip that the good professor is engaging in corruption of youth and when Steve's past comes up to haunt him, all heck breaks loose.",No Film Ever Dared Touch This Theme Before!,Drama,english,"professor, college"
Lucky Cisco Kid,1940-06-28,en,Lucky Cisco Kid,"Cisco and Gordito arrive to find there is an outlaw operating in the area who is assumed to be the Cisco Kid. When a reward is offered for his capture and a large shipment of money goes out, Cisco is on hand. Seeing the gang rob the stage he goes after them only to be wounded. The gang leader leaves Cisco's handkerchief at the scene and now he is wanted for the murder he tried to break up.",He Laughs! He Loves! He Rides! He Fights! He takes long chances...because he's the Cisco Kid,Western,english,cisco kid
All Is Bright,2013-09-10,en,All Is Bright,Two ne’er-do-wells from Quebec travel to New York City with a scheme to a get rich quick selling Christmas trees.,All is busted. All is broke. All is bitter. All is BRIGHT.,"Comedy, Drama",english,"holiday, christmas tree, salesman, christmas"
The Great Houdinis,1976-10-08,en,The Great Houdinis,"A biography of the renowned escape artist Harry Houdini, examining his fascination with the occult and his promise to his wife on her deathbed that he would speak from the beyond.",A supernatural man. A supernatural love.,"Drama, TV Movie, History",english,"magic, magic show, biography, romance, escape artist, houdini"
Tibet: Roof of the World,2020-01-01,en,Tibet: Roof of the World,"Join us as we explore life on the highest mountain plateau on Earth. This beautiful and other worldly place is also one of the harshest on the planet. We follow the lives of some of the iconic creatures that call it home. From Tibetan wolves struggling to raise pups in the rugged peaks, and rare snub nosed monkeys facing family dramas on the forest slopes to chiru antelopes that travel hundreds of miles to give birth while facing death, and hardy pika who tough out the elements all year, whilst under constant attack. Discover how these extraordinary animals manage to not only survive, but also thrive on the roof of the world.",Tibet: Roof of the World,Documentary,english,animals & nature
The Grease Monkeys,1979-06-27,en,The Grease Monkeys,One day in the life of three mechanics in Los Angeles.,...They're out to get your drive shaft!,Comedy,english,gay pornography
Return of the Kickfighter,1987-01-01,en,Return of the Kickfighter,"The plot concerns a unit of US marines operating in the Vietnam war during 1970, with the movie opening on a raid in a village. After massacring the villagers, the marines steal the villages gold, much to the objection of their Vietnamese translator and guide. Skip forward past the credits sequence; it's now 15 years later, and members of the unit are getting murdered one by one. This leads to the former head of the group, now a high ranking military officer, announcing that the only person who is up to the job of finding out the identity of the killer is an Aussie, Major Brad Cooper.",Back To Hell... Coming Out Alive Means Victory,"Action, War",english,"vietnam, jungle warfare"
Half a Hero,1953-05-11,en,Half a Hero,A man moves his family from the big city to the suburbs.,in double trouble!,"Comedy, Music",english,suburb
Two for the Seesaw,1962-11-21,en,Two for the Seesaw,"Jerry Ryan wanders aimlessly around New York after giving up his Nebraskan law practice. His wife asks for a divorce. He meets Gittel, a struggling dancer from Greenwich Village and they try to sort out their lives. An extended conversation piece with a static camera, but reflects the moral climate of the time.",A square from Nebraska? An off-beatnik from Greenwich Village?  It just didn't figure ... that they would ... that they could ... that they did!,Romance,english,greenwich village
King and Country,1964-09-05,en,King and Country,"During World War I, Army Private Arthur James Hamp is accused of desertion during battle. The officer assigned to defend him at his court-martial, Captain Hargreaves, finds out there is more to the case than meets the eye.",Go ahead... kill him - you're the only friend he has!,"War, Drama",english,"world war i, desertion, military court, based on play or musical, court martial, 1910s, trench warfare, gay theme"
That Other Woman,1942-11-13,en,That Other Woman,A secretary by the name of Emily Borden comes up with a convoluted plan to get her boss to marry her which backfires after some bad advice.,WHAT'S A GAL TO DO - WHEN THAT OTHER WOMAN GETS ALL THE WOO!,"Romance, Comedy",english,secretary
Grudge Match,2013-12-25,en,Grudge Match,A pair of aging boxing rivals are coaxed out of retirement to fight one final bout -- 30 years after their last match.,Stallone vs DeNiro,Comedy,english,"sports, parent child relationship, rivalry, elderly, elderly man"
Enter Arsène Lupin,1944-11-24,en,Enter Arsène Lupin,"A rich but naive young woman is in possession of some priceless jewels. She herself doesn't know it, but a gang of jewel thieves does.",Mystery fiction's most notorious rogue ...  now on the screen!,"Crime, Mystery, Romance",english,"jewel thief, arsene lupin"
Who Wants Tuki?,2012-09-30,es,¿Quién Quiere Tuki?,"The film portrays two of the most important producers of a movement born in the early 2000s, as well as the testimonies of some of its signatures dancers. In addition, it shows the initiative of Abstractor Collective to rescue and export the authenticity of a catchy rhythm that begins to count amongst its followers important producers and artist of the international electronic scene.","A short documentary about Changa Tuki, an underground electronic sound born in the slums of the city of Caracas, Venezuela.","Documentary, Music","spanish, english","dance, venezuela, caracas, electronic music, tuki"
These Glamour Girls,1939-08-18,en,These Glamour Girls,"A drunken college student invites a dance hostess to the big college dance and then forgets he asked her. When she shows up at school, he tries to get rid of her, but she won't leave. Instead, she stays and shows up both him and his classmates' snooty dates.",Sensational Story of Dance Hall Beauty Crashing Society's Playgrounds!,"Comedy, Drama",english,"dance, college, dancehall girl, college student"
Basketball County: In the Water,2020-05-15,en,Basketball County: In the Water,"This documentary film examines how NBA star Kevin Durant’s hometown of Prince George’s County, Maryland, has recently produced more elite basketball players than anywhere else in the world.",Where greatness lives.,Documentary,english,"basketball, sports documentary"
Taylor Swift: The 1989 World Tour - Live,2015-12-20,en,Taylor Swift: The 1989 World Tour - Live,"Filmed in front of 76,000 fans at the ANZ Stadium in Sydney, Australia, ""The 1989 World Tour Live"" captures Taylor Swift's entire performance while also mixing in behind-the-scene, rehearsal, and special guest footage from her 1989 Tour.","She lost him, but she found herself. And somehow that was everything.","Music, Documentary",english,"concert, pop star, pop culture, pop singer, singer, pop music, concert film, documentary film"
Percy,1971-02-18,en,Percy,"Edwin Antony (Hywel Bennett) is emasculated in an accident which kills a young philanderer. Doctors successfully replace his member with that of the dead man, but refuse to tell him the full story of the organ's origin. So Edwin begins a search which takes him to the philanderer's wife - and also to his many, many girlfriends...",The Story Of A Very Successful Transplant,Comedy,english,"dominatrix, transplant"
Grand Slam,1967-09-28,it,Ad ogni costo,"Professor James Anders is a seemingly mild-mannered teacher, an American working in Rio De Janeiro. Anders, bored with years of teaching, decides to put together a team to pull off a diamond heist during the Rio Carnival. Four international experts are brought together to carry out the robbery: a safe cracking expert, a master thief, a mechanical genius, and a playboy.",These men are in... for the crime of their lives.,"Thriller, Crime","german, french, portuguese, english","burglary, diamonds"
Broadway Limited,1941-06-13,en,Broadway Limited,"A publicity stunt staged on a train known as the Broadway Limited gets out of control, as no one wants to be responsible for the baby that was brought in for it.","Hello Broadway, goodbye blues!","Comedy, Romance",english,"chicago, illinois, baby, radio program, train, caper comedy, movie star, fan club, dining car, publicity stunt, streamlined train"
Blue Angels 2,2004-05-21,en,Blue Angels 2,"The Devil has infected Heaven's computer system with a virus which makes the bad guys on Earth look like ""angels"" ... and of course, opens the Gate for their arrival. Two Celestial ""ace"" trouble shooters, Tough Tony and Joe Doggs, are once again called upon to save the day ... and joining them is a loveable computer geek who's a lot smarter than he looks.",Tough Tony and Joe Doggs Have Another Little Problem...,"Comedy, Fantasy",english,"paradise, afterlife, angel, heaven, devil, erotic movie"
George Strait: The Cowboy Rides Away,2014-08-29,en,George Strait: The Cowboy Rides Away,"It was a concert fit for a king. Filmed live from his final show in Dallas, Texas, George Strait performs some of his most-loved hits and shares the stage with many famous friends. You'll love the reigning ACM and CMA entertainer of the year's duets with Jason Aldean, Kenny Chesney, Eric Church, Sheryl Crow, Vince Gill, Faith Hill, Alan Jackson, Miranda Lambert and Martina McBride. The special features new interviews with Strait, along with a selection of his incredible 60 No. 1 hits performed at the farewell tour, including ""Fool Hearted Memory,"" ""I Can Still Make Cheyenne,"" ""Check Yes Or No"" and ""The Cowboy Rides Away.""",It was a concert fit for a king.,"Family, Music",english,"concert, country music"
Arlington Road,1999-03-19,en,Arlington Road,Threats from sinister foreign nationals aren't the only thing to fear. Bedraggled college professor Michael Faraday has been vexed (and increasingly paranoid) since his wife's accidental death in a botched FBI operation. But all that takes a backseat when a seemingly all-American couple set up house next door.,Your Paranoia Is Real.,"Crime, Drama, Thriller, Mystery",english,"army, washington dc, usa, bomb, wife, politics, professor, fbi, paranoia, college, suspicion, murder, neighbor, conspiracy, terrorism, agent, blueprint, classified, neo-noir, domestic terrorism"
The Help,2011-08-09,en,The Help,"Aibileen Clark is a middle-aged African-American maid who has spent her life raising white children and has recently lost her only son; Minny Jackson is an African-American maid who has often offended her employers despite her family's struggles with money and her desperate need for jobs; and Eugenia ""Skeeter"" Phelan is a young white woman who has recently moved back home after graduating college to find out her childhood maid has mysteriously disappeared. These three stories intertwine to explain how life in Jackson, Mississippi revolves around ""the help""; yet they are always kept at a certain distance because of racial lines.",Change begins with a whisper.,Drama,english,"based on novel or book, mississippi river, exploitation, racial segregation, racism, writer, maid, moral courage, ressentiment, southern belle, racial issues, 1960s, newspaper columnist"
What Other Couples Do,2013-01-01,en,What Other Couples Do,"Married or dating? Then you'll love this smart, snarky, hilarious but heartbreaking film about relationships, sex &amp; love. Four couples gather for an L.A. dinner party and decide to play kissing game ""Seven Minutes in Heaven."" Be careful what you lust for!",Dinner. Dessert. Dysfunction.,"Comedy, Drama, Romance",english,"love, troubled relationships"
Small Potatoes: Who Killed the USFL?,2009-10-20,en,Small Potatoes: Who Killed the USFL?,"In 1983 the upstart United States Football League (USFL) had the audacity to challenge the almighty NFL. The new league did the unthinkable by playing in the spring and plucked three straight Heisman Trophy winners away from the NFL. The 12-team USFL played before crowds that averaged 25,000, and started off with respectable TV ratings. But with success came expansion and new owners, including a certain high profile and impatient real estate baron whose vision was at odds with the league’s founders. Soon, the USFL was reduced to waging a desperate anti-trust lawsuit against the NFL, which yielded an ironic verdict that effectively forced the league out of business. Now, almost a quarter of a century later, Academy Award-nominated and Peabody Award-winning director Mike Tollin, himself once a chronicler of the league, will showcase the remarkable influence of those three years on football history and attempt to answer the question, “Who Killed the USFL?”","For three glorious years, football was 365",Documentary,english,"sports, american football, sports documentary, sports league"
Death of a Soldier,1986-05-16,en,Death of a Soldier,"Based on a true story, James Coburn portrays a military lawyer assigned to defend a confessed psychotic killer. Set in the context of WWII and the uneasy US-Australian military alliance. The accused killer claims to have killed 3 women in order to possess their voices. Despite the defense lawyer's concerns that the killer is not fit to stand trial, the US military presses forward with the case and its desire to have the killer executed in order to strengthen the shaky alliance.",The obscenity of war. The brutality of murder. The travesty of justice.,"Drama, History, War",English,"australia, military court, based on true story, trial, murder, melbourne, australia, serial killer, true crime, diplomacy"
Fingers at the Window,1942-04-22,en,Fingers at the Window,"In Chicago, an unemployed actor aims to solve the mystery concerning a string of ax murders, apparently committed by a lunatic.",DANGER AT NIGHTFALL!,"Mystery, Thriller",english,"police, nurse, murder, ax"
Summer in Holland,1992-01-01,en,Summer in Holland,Documentary about naturism in the Netherlands.,Enjoy a Naked Dutch Summer,Documentary,english,"nudism, naturism"
Badminton,2009-01-01,en,Badminton,A man chases a shuttlecock to the ends of the world.,Kejarlah cita-citamu hingga ke ujung kapal,Comedy,English,short film
The Hollywood Kid,1924-04-19,en,The Hollywood Kid,"A short packed with more stars and gags than most features of its day, this film delivered a gaggle of guffaws!","With appearances by Mack Sennett, Andy Clyde, Vernon Dent, Ben Turpin, Marie Prevost, Billy Bevan, Charlie Murray, a dozen bathing beauties and a toothless lion!",Comedy,no language,dog
Sanctuary Population One,2018-12-01,en,Sanctuary Population One,"A young idealist, Ethan, is left searching for his family while fighting the infected, Med-Ex militia and bloodthirsty marauders, and the ghosts of his past.",His planet is sick. His people are sick. And he's sick of rules.,"Science Fiction, Action, Drama, Adventure, Thriller",english,"post-apocalyptic future, apocalypse, woman director, infected"
A Yank in the R.A.F.,1941-09-26,en,A Yank in the R.A.F.,An American pilot impulsively joins His Majesty's Royal Air Force in Britain in an attempt to impress his ex-girlfriend.,ROLLICKING ROMANCE! GLORIOUS ADVENTURE!,"War, Action, Romance",english,"world war ii, bomber pilot, royal air force"
Hammers Over the Anvil,1994-07-22,en,Hammers Over the Anvil,"Set in the summer of 1910 in Australia the film follows the story of 14 year old Alan Marshall (Alexander Outhread) as he stumbles out of childhood towards the exciting yet forbidding world of adulthood.  For Alan, despite the effects of polio, there is only one passion in life - to become a great horseman just like his hero, the reclusive horse trainer East Driscoll (Russell Crowe). Alan is one of East's few friends and also one of the few who knows about the affair between East and the aristocratic English woman Grace McAlister (Charlotte Rampling). Things inevitably take a turn towards the tragic when East becomes determined to force Grace to leave her husband and run away with him. Hammers Over The Anvil is an evocative coming of age film from Australian director Ann Turner.","An aristocratic Englishwoman, an Australian horseman and a young boy on a journey towards the exciting but forbidden world of adults.","Romance, Drama",english,woman director
New Morals for Old,1932-06-04,en,New Morals for Old,"Proper parents who treat their adult children as teenagers have a son who wants to go to Paris to study art, and a daughter in love with a married man.","WHEN THE HEART SAYS ""YES"" AND THE PARENTS SAY ""NO!"" -which choice shall Youth make?","Drama, Romance",english,"love affair, pre-code, nagging mother, overprotective parent"
The Last Sunset,1961-06-08,en,The Last Sunset,"Brendan O'Malley arrives at the Mexican home of old flame Belle Breckenridge to find her married to a drunkard getting ready for a cattle drive to Texas. Hot on O'Malley's heels is lawman Dana Stribling who has a personal reason for getting him back into his jurisdiction. Both men join Breckenridge and his wife on the drive. As they near Texas tensions mount, not least because Stribling is starting to court Belle, and O'Malley is increasingly drawn by her daughter Missy.","When giants clash, a woman trembles!",Western,"spanish, english","quicksand, dust storm"
A Silent Echo,2020-03-03,en,Goonj,“Words hide the real intentions behind actual thoughts”. This line can summarise the entire film. It's a story of a man trying to find purpose in his life who becomes delusional once he starts believing that there isn’t a purpose to his existence or anyone's for that matter. Watch the movie to find out more.,A silent Echo,"Thriller, Crime","english, hindi","psychopath, serial killer"
Alex,1993-05-06,en,Alex,"It is New Zealand 1959. Teen swimmer Alex Archer has to battle set backs, intense rivalry and personal tragedy in her bid to win selection for the 1960 Olympic Games in Rome.","Alex has two great loves. To win one, she must lose the other.",Drama,english,"new zealand, woman director"
"Big House, U.S.A",1955-03-03,en,"Big House, U.S.A",A tough and realistic crime drama unfolds as merciless kidnapper Jerry Barker (Ralph Meeker) demands ransom paid against a young runaway whose fate lands Barker in Casabel Island Prison.,5 KILLER CONVICTS BREAK OUT!,"Action, Thriller, Crime",english,"ransom, prison escape"
The Black Mamba,2011-09-21,en,The Black Mamba,"Nike's Black Mamba film, starring Kobe Bryant, made its debut at the NBA All Star Weekend. The almost six-minute film, directed by action director Robert Rodriguez and with cameos from Bruce Willis, Danny Trejo and Kanye West, highlights the new Nike Zoom Kobe VI.","You Lose This Road Game, You Don’t Go Home.","Action, Fantasy",english,"sports, basketball, short film"
Instant Death,2017-05-02,en,Instant Death,"A vicious gang war for drug dominance draws in a disturbed Special Forces veteran John Bradley. Trying to adjust to normal life and haunted by inner demons of a violent past, the underworld's retribution on his last connection to humanity, a daughter and grandchild leads to a descent of fury and violence that not even the brutality of gangland is prepared for.",Revenge is an understatement.,"Action, Crime",english,"daughter, gang war, drugs, ex special forces, grandchild, fury"
The Windsurfing Movie II,2010-07-09,en,The Windsurfing Movie II,"Building on the award winning success of The Windsurfing Movie (2007), Poor Boyz Productions gives a glimpse into the future of windsurfing through the eyes of Red Bull athlete Levi Siver. X-Dance Film Festival 'Best Director' winner Johnny DeCesare and water-cinematographer Jace Panebianco, spent three years in production and filmed in seven countries in search of windsurfing's new frontier. The Windsurfing Movie II expands on the story lines of The Windsurfing Movie with legendary Red Bull riders Jason Polakow, Robby Naish and featuring 16-year-old phenom Kai Lenny. Through interactions with windsurfing's rich cast of characters, Levi Siver learns that sometimes you have to go further afield to find the best wind and waves--and to eventually find the best in yourself.",More than just wind and waves,Documentary,english,"sports, windsurfing"
The Ultimate Warrior,1975-10-02,en,The Ultimate Warrior,"Only a few people still live in New York in 2012. They are organized in gangs with their own turf. One of them is led by Baron, another one by Carrot, and they are constantly at war with each other.",A Film of the Future,"Action, Science Fiction, Thriller","english, italian","new york city, dystopia, post-apocalyptic future, apocalypse, zombie, post nuclear"
The Strange Door,1951-06-21,en,The Strange Door,"The wicked Alain plots an elaborate revenge against his younger brother Edmund, leading to a deadly confrontation in his dungeon deathtrap.",Robert Louis Stevenson's masterpiece of Terror !,"Horror, Thriller",english,"kidnapping, secret passage, arranged marriage, torture, gothic horror, trapped, dungeon, based on short story, water wheel, 17th century, chateau"
Brazen Hussies,2020-11-05,en,Brazen Hussies,"Reveals a revolutionary chapter in Australian history, the Women’s Liberation Movement (1965 -1975). Interweaves fresh archival footage, personal photographs, memorabilia, and personal accounts from activists all around Australia to show how a daring and diverse group of women joined forces to defy the status quo, demand equality, and create profound social change. These women defined one of the greatest social movements of the 20th century, sometimes at great personal cost.",The Women who started a Feminist Revolution in Australia,Documentary,english,"australia, social documentary, feminist activism"
Black Cobra,1976-08-04,it,Eva nera,"Judas, a wealthy playboy living in Hong Kong, is obsessed with snakes. His apartment is full of them, and he treats them as if they were his children. One night Judas' brother persuades him to accompany him to see a dance act at a nightclub. Judas is astounded to see that the act consists of a beautiful Asian woman who dances nude while holding a python. He is immediately smitten, and winds up hiring her to take care of his snakes while he's away on business. However, things start to take a sinister turn.",How much snake can one woman take...,"Drama, Thriller",english,"snake, nightclub"
Iron Man 2,2010-04-28,en,Iron Man 2,"With the world now aware of his dual life as the armored superhero Iron Man, billionaire inventor Tony Stark faces pressure from the government, the press and the public to share his technology with the military. Unwilling to let go of his invention, Stark, with Pepper Potts and James 'Rhodey' Rhodes at his side, must forge new alliances – and confront powerful enemies.","It's not the armor that makes the hero, but the man inside.","Adventure, Action, Science Fiction","english, russian, french","technology, superhero, malibu, based on comic, revenge, aftercreditsstinger, marvel cinematic universe (mcu), break out"
Johnny Cool,1963-10-02,en,Johnny Cool,A deported gangster trains an Italian convict to take over his operations in the U.S.,Don't let his looks fool you. He's the coldest killer of killers who ever lived!,"Action, Crime, Drama, Thriller","english, italian","police, gangster, film noir, vendetta"
The Foxy Merkins,2013-08-09,en,The Foxy Merkins,"Two lesbian hookers wind their way through a world of bargain-hunting housewives and double-dealing conservative women in this buddy comedy, an homage to and riff on iconic male hustler films. Margaret is a down-on-her-luck hooker in training, who meets up with Jo, a beautiful and self-assured grifter from a wealthy family and an expert on servicing women, even as she considers herself proudly heterosexual. The film follows their adventures together on the street, through encounters with husky-voiced seductresses, mumbling erotic accessory salesmen and shopaholic swingers. Navigating the bizarre fetishes and sexual needs of their 'dates' brings into focus the hilarious and pathetic disparity between the two hookers, fellow travelers who will share the road together but only for a while.",See what's lurkin',"Comedy, Adventure",english,woman director
Youth,2020-09-03,en,Youth,Alden Taylor presents a brief look into the youth of today.,A look into today’s,Documentary,English,today's youth
The Underdog,1943-10-17,en,The Underdog,"During WWII, a strong-willed 12-year-old boy tries to steer his vocationally and maritally confused father straight, at the same time striving to keep his honor while the gang in his new neighborhood bully him.",COURAGE PROVED BY FIRE... Even a Quitter Can Be A Hero When The Chips Are Down!,"War, Drama",english,"fire, dog, sabotage"
Sparkle,1976-04-07,en,Sparkle,Three sisters start out singing in their church choir in Harlem in the late 1950s and become a successful girl group in the 1960s.,From downtown to uptown,"Drama, Music",english,"motown, singer, drugs, girl group, harlem, new york city, rise to fame"
Batman: Return of the Caped Crusaders,2016-10-08,en,Batman: Return of the Caped Crusaders,"Adam West and Burt Ward returns to their iconic roles of Batman and Robin. The film sees the superheroes going up against classic villains like The Joker, The Riddler, The Penguin and Catwoman, both in Gotham City… and in space.",The crusade continues...,"Action, Animation, Adventure, Crime, Science Fiction",english,"superhero, comic book, super power"
Blur: No Distance Left to Run,2010-01-14,en,Blur: No Distance Left to Run,"A documentary film about the British rock band Blur. Following the band during their 2009 reunion and tour, the film also includes unseen archive footage and interviews.",A Film About Blur,"Documentary, Music",english,music documentary
The Emperor's New Clothes,2001-08-11,en,The Emperor's New Clothes,"Napoleon, exiled, devises a plan to retake the throne. He'll swap places with commoner Eugene Lenormand, sneak into Paris, then Lenormand will reveal himself and Napoleon will regain his throne. Things don't go at all well; first, the journey proves more difficult than expected, but more disastrously, Lenormand enjoys himself too much to reveal the deception. Napoleon adjusts somewhat uneasily to the life of a commoner while waiting, while Lenormand gorges on rich food.",The world's most powerful man is about to fight his greatest battle... between love and glory.,"Comedy, Drama",english,"based on novel or book, exile, napoleon bonaparte, 19th century"
Kickboxer 3: The Art of War,1992-06-11,en,Kickboxer 3: The Art of War,"Kick-box champion David Sloan arrives in Rio de Janeiro for an exhibition fight. He and mentor Xian take pity on Brazilian rascal Marcos Coasta, an urchin who offers guide services but routinely steals from tourists for himself and his older sister Isabella. David is shocked when he sees how his Argentinian opponent Marcelo needlessly abuses a courteous local sparing partner. That's the doing of his evil US manager, Lane. He has nasty plans to force David to cheat and runs a white slavery racket.","In The World's Deadliest Contest, There Can Only Be One Winner... And Only One Survivor!","Action, Thriller","english, portuguese","martial arts, showdown, sports, fight, action hero"
The Great Gatsby,2013-05-09,en,The Great Gatsby,"An adaptation of F. Scott Fitzgerald's Long Island-set novel, where Midwesterner Nick Carraway is lured into the lavish world of his neighbor, Jay Gatsby. Soon enough, however, Carraway will see through the cracks of Gatsby's nouveau riche existence, where obsession, madness, and tragedy await.",Reserving judgments is a matter of infinite hope... I come to the admission that it has a limit.,"Drama, Romance",english,"infidelity, based on novel or book, obsession, hope, long island, new york, 1920s, voiceover"
Cordelia,2019-09-25,en,Cordelia,"Cordelia ia a troubled, damaged soul who is only just recovering after some unnamed trauma; she is an actor rehearsing a play and comes to stay in a creepy London mansion flat occupied by her twin sister Caroline and Caroline’s boyfriend Matt. When they leave her alone there  Cordelia strikes up a friendship with Frank the charming, but strange and unreliable young man they can hear practising his cello in the upstairs flat – a relationship which quickly becomes very disturbing.",The fear will find you,"Drama, Thriller, Horror","english, french",basement
Malignant,2021-09-01,en,Malignant,"Madison is paralyzed by shocking visions of grisly murders, and her torment worsens as she discovers that these waking dreams are in fact terrifying realities with a mysterious tie to her past.",A new vision of terror.,"Horror, Mystery, Thriller",english,"dream, monster, brain tumor, detective, seattle, washington, gore, murder, vision, serial killer, hospital, miscarriage, videotape, murder mystery, sister sister relationship, psychic connection, american giallo"
